date,pr_norm,pnp
2022-01-01,28063.010000000002,11899.38
2022-02-01,22649.29,26275.44
2022-03-01,23417.88,23497.12
2022-04-01,30005.15,44566.59
2022-05-01,44648.25,25445.31
2022-06-01,42708.5,9900.45
2022-07-01,40916.66,21647.52
2022-08-01,37551.47,17815.57
2022-09-01,40671.73,10426.95
2022-10-01,38299.69,18988.27
2022-11-01,32184.38,19148.14
2022-12-01,27088.74,21035.42
