,region,province,city,barangay,risk_score_category,predicted_risk_score_category,predicted_risk_category
99,Region XI,Davao del Sur,Davao City,Barangay 36-D (Pob.),1 - Low,1 - Low,Low
100,Region XI,Davao del Sur,Davao City,Kilate,3 - High,3 - High,High
101,Region XI,Davao del Sur,Davao City,Bago Gallera,1 - Low,1 - Low,Low
102,Region XI,Davao del Sur,Davao City,Datu Salumay,2 - Medium,2 - Medium,Medium
103,Region XI,Davao del Sur,Davao City,Baguio (Pob.),1 - Low,1 - Low,Low
104,Region XI,Davao del Sur,Davao City,Sirawan,3 - High,3 - High,High
105,Region XI,Davao del Sur,Davao City,Tagakpan,1 - Low,1 - Low,Low
106,Region XI,Davao del Sur,Davao City,Gov. Vicente Duterte,1 - Low,1 - Low,Low
107,Region XI,Davao del Sur,Davao City,Tagluno,3 - High,3 - High,High
108,Region XI,Davao del Sur,Davao City,Callawa,3 - High,3 - High,High
109,Region XI,Davao del Sur,Davao City,Barangay 22-C (Pob.),1 - Low,1 - Low,Low
110,Region XI,Davao del Sur,Davao City,Barangay 14-B (Pob.),1 - Low,1 - Low,Low
111,Region XI,Davao del Sur,Davao City,"Leon Garcia, Sr.",1 - Low,1 - Low,Low
112,Region XI,Davao del Sur,Davao City,Bantol,2 - Medium,2 - Medium,Medium
113,Region XI,Davao del Sur,Davao City,Barangay 19-B (Pob.),2 - Medium,1 - Low,Low
114,Region XI,Davao del Sur,Davao City,Tungakalan,3 - High,3 - High,High
115,Region XI,Davao del Sur,Davao City,Wangan,2 - Medium,2 - Medium,Medium
116,Region XI,Davao del Sur,Davao City,Barangay 1-A (Pob.),2 - Medium,2 - Medium,Medium
117,Region XI,Davao del Sur,Davao City,Dacudao,2 - Medium,2 - Medium,Medium
118,Region XI,Davao del Sur,Davao City,Alejandra Navarro (Lasang),3 - High,3 - High,High
119,Region XI,Davao del Sur,Davao City,Matina Biao,3 - High,3 - High,High
120,Region XI,Davao del Sur,Davao City,Mapula,2 - Medium,2 - Medium,Medium
121,Region XI,Davao del Sur,Davao City,Ubalde,1 - Low,1 - Low,Low
122,Region XI,Davao del Sur,Davao City,Barangay 3-A (Pob.),1 - Low,1 - Low,Low
123,Region XI,Davao del Sur,Davao City,Barangay 13-B (Pob.),1 - Low,1 - Low,Low
124,Region XI,Davao del Sur,Davao City,New Valencia,3 - High,3 - High,High
125,Region XI,Davao del Sur,Davao City,Colosas,2 - Medium,2 - Medium,Medium
126,Region XI,Davao del Sur,Davao City,Waan,3 - High,3 - High,High
127,Region XI,Davao del Sur,Davao City,Tamayong,2 - Medium,2 - Medium,Medium
128,Region XI,Davao del Sur,Davao City,Barangay 25-C (Pob.),1 - Low,1 - Low,Low
129,Region XI,Davao del Sur,Davao City,Magsaysay,2 - Medium,2 - Medium,Medium
130,Region XI,Davao del Sur,Davao City,Saloy,2 - Medium,2 - Medium,Medium
131,Region XI,Davao del Sur,Davao City,Malabog,2 - Medium,2 - Medium,Medium
132,Region XI,Davao del Sur,Davao City,Gumitan,2 - Medium,2 - Medium,Medium
133,Region XI,Davao del Sur,Davao City,Calinan (Pob.),2 - Medium,2 - Medium,Medium
134,Region XI,Davao del Sur,Davao City,Mabuhay,3 - High,2 - Medium,Medium
135,Region XI,Davao del Sur,Davao City,Catalunan Pequeño,2 - Medium,1 - Low,Low
136,Region XI,Davao del Sur,Davao City,Biao Guianga,3 - High,3 - High,High
137,Region XI,Davao del Sur,Davao City,Barangay 24-C (Pob.),1 - Low,1 - Low,Low
138,Region XI,Davao del Sur,Davao City,Barangay 28-C (Pob.),1 - Low,1 - Low,Low
139,Region XI,Davao del Sur,Davao City,Tapak,2 - Medium,2 - Medium,Medium
140,Region XI,Davao del Sur,Davao City,Ma-a,2 - Medium,2 - Medium,Medium
141,Region XI,Davao del Sur,Davao City,Lampianao,3 - High,2 - Medium,Medium
142,Region XI,Davao del Sur,Davao City,New Carmen,3 - High,3 - High,High
143,Region XI,Davao del Sur,Davao City,Tigatto,2 - Medium,2 - Medium,Medium
144,Region XI,Davao del Sur,Davao City,Bucana,2 - Medium,2 - Medium,Medium
145,Region XI,Davao del Sur,Davao City,Barangay 23-C (Pob.),1 - Low,1 - Low,Low
146,Region XI,Davao del Sur,Davao City,Lubogan,3 - High,3 - High,High
147,Region XI,Davao del Sur,Davao City,Baganihan,3 - High,3 - High,High
148,Region XI,Davao del Sur,Davao City,Eden,3 - High,3 - High,High
149,Region XI,Davao del Sur,Davao City,Lacson,2 - Medium,2 - Medium,Medium
150,Region XI,Davao del Sur,Davao City,Barangay 35-D (Pob.),1 - Low,1 - Low,Low
